KT;ORTNAME;PLZ
FR;Cormagens;1782
FR;Cormanon;1752
FR;Cormérod;1721
FR;Corminboeuf;1720
NE;Cormondrèche;2036
BE;Cormoret;2612
NE;Cornaux;2087
VD;Cornes de Cerf;1072
JU;Cornol;2952
FR;Corpataux;1727
VD;Corrençon;1410
VD;Correvon;1410
FR;Corsalettes;1772
VD;Corseaux;1802
FR;Corserey;1747
GE;Corsier;1246
VD;Corsier-sur-Vevey;1804
GE;Corsinge;1252
VD;Corsy;1095
NE;Cortaillod;2016
BE;Cortébert;2607
TI;Corteglia;6873
TI;Corticiasca;6958
TI;Cortivallo;6924
TI;Corzoneso;6722
VD;Cossonay-Gare;1305
VD;Cossonay-Ville;1304
FR;Cottens;1741
VD;Cottens;1116
VD;Cotterd;1585
VS;Cotterg;1934
FR;Coumin;1529
JU;Courcelon;2823
JU;Courchapoix;2825
JU;Courchavon;2922
JU;Courfaivre;2853
JU;Courgenay;2950
FR;Courgevaux;1796
FR;Courlevon;1795
FR;Cournillens;1721
JU;Courrendlin;2830
JU;Courroux;2822
BE;Court;2738
FR;Courtaman;1791
JU;Courtedoux;2905
BE;Courtelary;2608
JU;Courtemaîche;2923
JU;Courtemautruy;2950
FR;Courtepin;1784
JU;Courtételle;2852
FR;Courtion;1721
FR;Cousset;1774
FR;Coussiberlé;1795
NE;Couvet;2108
TI;Cozzo;6951
TI;Crana;6611
VS;Crans-Montana;3963
VS;Crans-Montana;3963
VD;Crans-près-Céligny;1299
VS;Crans-sur-Sierre;3963
VS;Crans-sur-Sierre;3963
VD;Crassier;1263
GR;Crasta;7505
VD;Crebelley;1845
VD;Cremières;1071
VD;Cremin;1526
BE;Crémines;2746
TI;Cresciano;6705
FR;Cressier;1785
NE;Cressier;2088
GR;Cresta;7447
FR;Crésuz;1653
VS;Crêt-à-l'Oeil;1992
NE;Creux-du-Van;2108
VS;Cries;1941
VD;Crissier;1023
TI;Croglio;6980
VD;Cronay;1406
GR;Cröt;7446
VD;Croy;1322
GR;Crusch;7554
VD;Cuarnens;1148
VD;Cuarny;1404
VD;Cudrefin;1588
TI;Cugnasco;6516
TI;Cugnasco;6516
FR;Cugy;1482
VD;Cugy;1053
VD;Cully;1096
GR;Cumbel;7142
TI;Cumiasca;6722
GR;Cumpadials;7176
GR;Cunter;7452
GR;Curaglia;7184
TI;Cureggia;6963
TI;Cureglia;6944
TI;Curio;6986
VD;Curtilles;1521
TI;Curtina;6959
FR;Cutterwil;1782
ZH;Dachlissen;8932
ZH;Dachsen;8447
ZH;Dachsleren;8165
ZH;Dägerlen;8471
LU;Dagmersellen;6252
VD;Daillens;1306
VS;Daillon;1976
LU;Daiwil;6126
GR;Dalfazza;7240
GR;Dalin;7424
NW;Dallenwil;6383
ZH;Dällikon;8108
TI;Dalpe;6774
BE;Dampfwil;3268
JU;Damphreux;2933
JU;Damvant;2914
TI;Dangio;6717
SO;Däniken;4658
ZH;Dänikon;8114
GR;Danis;7163
GE;Dardagny;1283
GR;Dardin;7164
BE;Därligen;3707
VS;Darnona;3973
VS;Darnona;3973
TI;Daro;6500
BE;Därstetten;3763
GR;Darvella;7166
ZH;Dättlikon;8421
ZH;Dättnau;8400
AG;Dättwil;5405
ZH;Dätwil;8452
TI;Davesco;6964
VS;Daviaz;1891
GR;Davos Dorf;7260
GR;Davos Platz;7270
GR;Degen;7145
AG;Degermoos;5426
SG;Degersheim;9113
TI;Deggio;6777
VS;Deisch;3993
BE;Deisswil bei Münchenbuchsee;3053
BE;Deisswil bei Stettlen;3066
BE;Deisswil bei Stettlen;3066
SO;Deitingen;4543
JU;Delémont;2800
FR;Delley;1567
VD;Démoret;1415
VD;Denens;1135
VD;Denezy;1410
VD;Denges;1026
AG;Densbüren;5026
BE;Dentenberg;3076
VS;Derborence;1976
SO;Derendingen;4552
BE;Detligen;3036
BE;Dettenbühl;4537
ZH;Dettenried;8484
TG;Dettighofen;8574
TG;Dettighofen;8505
JU;Develier;2802
ZH;Dickbuch;8354
SG;Dicken bei Degersheim;9115
OW;Diechtersmatt;6074
BL;Diegten;4457
ZH;Dielsdorf;8157
SG;Diemberg;8733
BE;Diemerswil;3053
BE;Diemtigen;3754
BL;Diepflingen;4442
SG;Diepoldsau;9444
LU;Dierikon;6036
GL;Diesbach;8777
BE;Diessbach bei Büren;3264
BE;Diesse;2517
TG;Diessenhofen;8253
SG;Dietenwil;9526
BE;Dieterswil;3256
SG;Dietfurt;9615
ZH;Dietikon;8953
TG;Dietingen;8524
FR;Dietisberg;3184
BL;Dietisberg;4448
ZH;Dietlikon;8305
LU;Dietschiberg;6000
SG;Dietschwil;9533
AG;Dietwil;6042
ZH;Diezikon;8637
GR;Digg;7014
TG;Dingenhart;8500
ZH;Dinhard;8474
TI;Dino;6967
AG;Dintikon;5606
VS;Diogne;3963
VS;Diolly;1965
TG;Dippishausen;8573
GR;Dischma;7260
GR;Disentis/Mustér;7180
GR;Disla;7180
BL;Dittingen;4243
VD;Dizy;1304
GR;Domat/Ems;7013
NE;Dombresson;2056
FR;Domdidier;1564
VD;Dommartin;1041
VD;Dompierre;1682
FR;Dompierre FR;1563
GR;Donat;7433
VD;Donatyre;1580
TI;Dongio;6715
VD;Donneloye;1407
TG;Donzhausen;8583
LU;Doppleschwand;6112
VS;Dorénaz;1905
ZH;Dorf;8458
ZH;Dörfli;8942
SH;Dörflingen;8239
SO;Dornach;4143
BL;Dornachbrugg;4147
GL;Dornhaus;8777
TG;Dotnacht;8566
TI;Dottero;6718
AG;Dottikon;5605
AG;Dottikon;5605
AG;Döttingen;5312
BE;Dotzigen;3293
TG;Dozwil;8582
VS;Dranse;1945
SG;Dreien;9612
FR;Drognens;1680
VS;Drône;1965
TI;Drossa;6809
ZH;Dübendorf;8600
FR;Düdingen;3186
BL;Duggingen;4202
VS;Dugny;1912
VD;Duillier;1266
SO;Dulliken;4657
VD;Dully;1195
TG;Dünnershaus;8585
TI;Duno;6702
ZH;Dürnten;8635
AG;Dürrenäsch;5724
BE;Dürrenast;3600
BE;Dürrenroth;3465
ZH;Dürstelen;8335
TG;Dussnang;8374
GR;Duvin;7112
GE;Eaumorte;1236
GE;Eaumorte;1236
LU;Ebersecken;6245
LU;Ebersol;6276
SG;Ebersol;9122
TG;Eberswil;9220
ZH;Ebertswil;8925
LU;Ebikon;6030
BE;Ebligen;3855
ZH;Ebmatingen;8123
SG;Ebnat-Kappel;9642
LU;Ebnet;6163
VD;Echallens;1040
VD;Echandens;1026
FR;Echarlens;1646
VD;Echichens;1112
VD;Eclagnens;1376
VD;Eclépens;1312
VS;Ecône;1908
VD;Ecoteaux;1612
FR;Ecublens;1673
VD;Ecublens;1024
FR;Ecuvillens;1730
JU;Ederswiler;2813
OW;Edisried;6073
ZG;Edlibach;6313
AG;Effingen;5078
ZH;Effretikon;8307
AG;Egenwil;5225
SO;Egerkingen;4622
SZ;Egg;8847
SG;Egg bei Flawil;9231
ZH;Egg bei Zürich;8132
GR;Egga;7134
VS;Egga;3991
AG;Eggenwil;5445
VS;Eggerberg;3939
SG;Eggersriet;9034
AI;Eggerstanden;9050
TG;Eggethof;8585
ZH;Egghof;8523
BE;Eggiwil;3537
ZH;Eglisau;8193
AG;Egliswil;5704
TG;Egnach;9322
LU;Egolzwil;6243
GR;Egschi;7104
ZH;Ehrikon;8489
LU;Eich;6205
SO;Eich;4658
SG;Eichberg;9453
BE;Eichholz bei Messen;3254
SO;Eichholz bei Messen;3254
ZH;Eidberg;8400
AG;Eien;5314
LU;Eigenthal;6013
BE;Eigergletscher;3823
AG;Eiken;5074
BE;Einigen;3646
SZ;Einsiedeln;8840
VS;Eischoll;3943
VS;Eison;1969
VS;Eisten;3922
VS;Eisten (Lötschen);3919
AG;Elfingen;5077
ZH;Elgg;8353
TG;Ellighausen;8566
ZH;Ellikon am Rhein;8464
ZH;Ellikon an der Thur;8548
GL;Elm;8767
ZH;Elsau;8352
FR;Elswil;3184
VS;Embd;3926
ZH;Embrach;8424
ZH;Embrach-Embraport;8424
BE;Emdthal;3711
LU;Emmen;6032
LU;Emmenbrücke;6020
BE;Emmenmatt;3543
LU;Emmenweid;6020
NW;Emmetten;6376
TG;Emmishofen;8280
ZH;Endhöri;8181
AG;Endingen;5304
BE;Endorf;3655
ZH;Enge;8000
OW;Engelberg;6390
SO;Engelberg bei Walterswil;5746
SG;Engelburg;9032
TG;Engelswilen;8566
NE;Enges;2073
AI;Enggenhütten;9050
BE;Enggistein;3077
GL;Engi;8765
SO;Engi;4208
TG;Engishofen;8586
BE;Englisberg;3086
NE;Engollon;2063
TG;Engwang;8556
TG;Engwilen;8564
GL;Ennenda;8755
TG;Ennetaach;8586
AG;Ennetbaden;5408
SG;Ennetbühl;9651
GL;Ennetbühls;8755
NW;Ennetbürgen;6373
GL;Ennetlinth;8756
NW;Ennetmoos;6372
AG;Ennetturgi;5300
FR;Enney;1667
LU;Entlebuch;6162
NE;Entre-deux-Monts;2400
JU;Envelier;2829
VD;Envy;1323
NE;Epagnier;2074
FR;Epagny;1663
VD;Epalinges;1066
VD;Epautheyres;1417
JU;Epauvillers;2885
FR;Ependes;1731
VD;Ependes;1434
VD;Epesses;1098
VS;Epinassey;1890
JU;Epiquerez;2886
SO;Eppenberg;5012
TG;Eppishusen;8586
BE;Epsach;3272
BL;Eptingen;4458
VS;Erde;1976
VS;Erdesson;3979
TG;Erdhusen;9315
VS;Ergisch;3947
BE;Eriswil;4952
BE;Eriz;3619
BE;Erlach;3235
TG;Erlen;8586
ZH;Erlenbach;8703
BE;Erlenbach im Simmental;3762
AG;Erlinsbach;5018
SO;Erlinsbach (SO);5015
ZH;Erlosen;8340
TG;Ermatingen;8272
LU;Ermensee;6294
SG;Ermenswil;8734
VS;Ernen;3995
SG;Ernetschwil;8725
VS;Erschmatt;3957
SO;Erschwil;4228
BE;Ersigen;3423
SZ;Erste Altmatt;6418
UR;Erstfeld;6472
TG;Erzenholz;8500
LU;Eschenbach;6274
SG;Eschenbach;8733
ZH;Eschenmosen;8180
TG;Eschenz;8264
BE;Eschert;2743
BE;Eschi;3766
FR;Eschiens;1673
TG;Eschikofen;8553
ZH;Eschikon;8315
ZH;Eschlikon;8474
TG;Eschlikon;8360
LU;Escholzmatt;6182
FR;Esmonts;1670
FR;Essert;1724
VD;Essertes;1078
JU;Essertfallon;2886
VD;Essertines-sur-Rolle;1186
VD;Essertines-sur-Yverdon;1417
VD;Essert-Pittet;1435
VD;Essert-sous-Champvent;1443
ZH;Esslingen;8133
FR;Estavannens;1665
FR;Estavayer-le-Gibloux;1695
FR;Estavayer-le-Lac;1470
FR;Estévenens;1687
VD;Etagnières;1037
VS;Etiez;1941
VD;Etoy;1163
VD;Etrabloz;1551
ZH;Ettenhausen;8620
TG;Ettenhausen;8356
ZH;Ettenhausen bei Kyburg;8314
BL;Ettingen;4107
LU;Ettiswil;6218
SZ;Etzel;8847
SZ;Etzel Kulm;8835
BE;Etzelkofen;3306
LU;Etzelwil;6231
AG;Etzgen;5275
SO;Etziken;4554
AG;Etzwil;5317
TG;Etzwilen;8259
TG;Eugerswil;8508
VS;Euseigne;1982
SZ;Euthal;8844
BE;Evilard;2533
VS;Evionnaz;1902
VS;Evolène;1983
VD;Exergillod;1866
BE;Ey bei Kirchberg;3400
BE;Ey bei Kirchberg;3400
BE;Eyfeld;3063
VS;Eyholz;3930
BE;Eymatt;3000
VD;Eysins;1262
VS;Fafleralp;3919
ZH;Fägswil;8630
AG;Fahr;8109
TG;Fahrhof;8525
BE;Fahrni;3617
AG;Fahrwangen;5615
ZH;Fahrweid;8951
ZH;Fahrweid;8951
ZH;Fahrweid;8951
JU;Fahy;2916
TI;Faido;6760
TI;Faido Stazione;6760
GR;Fajauna;7226
GR;Falera;7153
ZH;Fällanden;8117
ZH;Faltigberg;8636
GR;Fanas;7215
VS;Fang;3961
BE;Fankhaus (Trub);3557
VD;Faoug;1595
GR;Fardün;7433
BE;Farnern;4539
FR;Farvagny;1726
FR;Farvagny-le-Grand;1726
FR;Farvagny-le-Petit;1726
BE;Faulensee;3705
VD;Féchy;1173
ZH;Fehraltorf;8320
SO;Fehren;4232
AG;Fehrenthal;5316
TG;Felben;8552
ZH;Feldbach;8714
TG;Feldbach;8266
SO;Feldbrunnen;4532
GR;Feldis/Veulden;7404
ZH;Feldmeilen;8706
SG;Feldmoos;9425
GR;Felsberg;7012
BE;Felsenau;3000
AG;Felsenau;5316
ZH;Felsenegg;8143
VD;Fenalet-sur-Bex;1880
FR;Fendringen;3178
VD;Fenil-sur-Corsier;1809
NE;Fenin;2063
AG;Fenkrieden;5645
VS;Ferden;3916
BE;Ferenbalm;3206
BE;Ferenbalm Station;3208
BE;Ferenberg bei Stettlen;3066
VD;Ferlens;1076
VS;Ferpècle;1984
FR;Ferpicloz;1724
LU;Ferren;6277
VS;Ferret;1944
VD;Ferreyres;1313
VS;Feschel;3956
TI;Fescoggia;6938
FR;Fétigny;1532
ZH;Feuerthalen;8245
SZ;Feusisberg;8835
BE;Feutersoey;3784
GR;Fex;7514
VD;Fey;1044
VS;Fey;1996
VD;Feydey;1854
FR;Fiaugères;1609
GR;Fidaz;7019
GR;Fideris;7235
GR;Fideris Station;7235
VS;Fiesch;3984
VS;Fieschertal;3984
TI;Fiesso;6772
VD;Fiez;1420
TI;Figgione;6760
TI;Figino;6918
VS;Filet;3983
GR;Filisur;7477
FR;Fillistorf;3185
GL;Filzbach;8757
TG;Fimmelsberg;8514
VS;Finhaut;1925
BE;Finsterhennen;2577
ZG;Finstersee;6313
LU;Finsterwald;6162
VS;Fionnay;1948
ZH;First;8307
LU;Fischbach;6145
AG;Fischbach;5525
TG;Fischbach;8558
ZH;Fischenthal;8497
TG;Fischingen;8376
AG;Fisibach;5467
AG;Fislisbach;5442
ZH;Flaach;8416
FR;Flamatt;3175
VS;Flanthey;3978
GR;Fläsch;7306
SG;Flawil;9230
AG;Fleckenhausen;4852
VD;Flendruz;1659
GR;Flerden;7426
NE;Fleurier;2114
GR;Flims;7017
GR;Flims Dorf;7017
GR;Flims Waldhaus;7018
GR;Flond;7137
UR;Flüelen;6454
OW;Flüeli-Ranft;6073
BE;Flugbrunnen;3065
SO;Flüh;4112
LU;Flühli;6173
SO;Flumenthal;4534
SG;Flums;8890
ZH;Fluntern;8000
ZH;Flurlingen;8247
SG;Fly;8872
SG;Fly;8872
GR;Fondei;7057
FR;Font;1473
VS;Fontaine Dessous;1945
VS;Fontaine Dessus;1945
NE;Fontainemelon;2052
NE;Fontaines;2046
VD;Fontaines-sur-Grandson;1421
GR;Fontana;7553
TI;Fontanella;6834
VD;Fontanezier;1423
LU;Fontannen bei Wolhusen;6110
VD;Fontanney;1860
JU;Fontenais;2902
VS;Fontenelle;1934
SG;Fontnas;9476
ZH;Forch;8127
ZH;Forch;8127
VD;Forchex;1867
FR;Forel;1475
VD;Forel (Lavaux);1072
VD;Forel-sur-Lucens;1526
FR;Formangueires;1782
TI;Fornasette;6996
BE;Fornet-Dessous;2717
JU;Fornet-Dessus;2718
VS;Fornex;1945
TI;Foroglio;6690
SG;Forst;9450
BE;Forst bei Längenbühl;3636
VS;Fortunoz;1966
TI;Fosano;6574
GE;Fossard;1225
VD;Founex;1297
FR;Franex;1489
FR;Fräschels;3284
TI;Frasco;6636
TG;Frasnacht;9320
FR;Frasses;1483
BE;Fraubrunnen;3312
BE;Frauchwil;3255
TG;Frauenfeld;8500
BE;Frauenkappelen;3202
GR;Frauenkirch;7276
TI;Freggio;6763
JU;Fregiécourt;2953
BE;Freiburghaus;3176
TG;Freidorf;9306
SZ;Freienbach;8807
ZH;Freienstein;8427
AG;Freienwil;5423
BE;Freimettigen;3510
VD;Frenières-sur-Bex;1880
BL;Frenkendorf;4402
NE;Fresens;2027
NE;Fretereules;2149
ZH;Freudwil;8615
FR;Fribourg;1700
FR;Fribourg;1700
AG;Frick;5070
AG;Friedlisberg;8964
BE;Frienisberg;3267
ZG;Friesencham;6332
BE;Frieswil;3035
GR;Friggahüs;7134
TG;Friltschen;9504
BE;Frinvillier;2535
BE;Frittenbach;3436
BE;Frittenbach;3436
SO;Froburg;4634
VD;Froideville;1055
GE;Frontenex;1223
FR;Fruence;1618
SG;Frümsen;9467
TG;Fruthwilen;8269
BE;Frutigen;3714
OW;Frutt;6068
GR;Ftan;7551
ZH;Fulau;8352
GR;Fuldera;7533
SO;Fulenbach;4629
AG;Full;5324
BL;Füllinsdorf;4414
VS;Fully;1926
GR;Fuorns;7185
VS;Fürgangen;3997
NW;Fürigen;6363
GR;Furna;7232
GR;Fürstenau;7414
GR;Fürstenaubruck;7413
SG;Furth;9125
TI;Fusio;6696
VS;Gabi (Simplon);3907
SH;Gächlingen;8214
SO;Gächliwil;4584
TG;Gachnang;8547
GR;Gadenstätt;7244
BE;Gadmen;3863
TI;Gaggio;6934
TI;Gaggiole;6596
TI;Gaggiolo;6855
SG;Gähwil;9534
BE;Gaicht;2513
AR;Gais;9056
SG;Gaiserwald;9030
SZ;Galgenen;8854
AG;Gallenkirch;5225
FR;Galmiz;3285
BE;Gals;3238
AG;Galten;5272
FR;Galteren;1712
BE;Gambach;3153
BE;Gammen;3206
BE;Gammenthal;3454
VS;Gampel;3945
BE;Gampelen;3236
SG;Gams;9473
VS;Gamsen;3900
TI;Gandria;6978
SO;Gänsbrunnen;4716
AG;Gansingen;5272
SG;Ganterschwil;9608
VS;Gärlich;3935
FR;Garmiswil;3186
BE;Garstatt;3766
ZH;Garten;8487
BE;Gasel;3144
VS;Gasenried;3924
SG;Gasenzen;9473
SG;Gassaura;7317
ZH;Gattikon;8136
AG;Gebenstorf;5412
SG;Gebertingen;8725
SG;Gebhardswil;9203
ZH;Geeren;8044
TG;Gehrau;8554
VS;Geimen;3904
LU;Geiss;6123
BE;Geissholz;3860
LU;Gelfingen;6284
BE;Gelterfingen;3126
BL;Gelterkinden;4460
AG;Geltwil;5637
SO;Gempen;4145
FR;Gempenach;3215
TI;Genestrerio;6852
GE;Genève;1200
VD;Genolier;1272
GE;Genthod;1294
TI;Gentilino;6925
SG;Geretschwil;9212
BE;Geristein;3065
SO;Gerlafingen;4563
TG;Gerlikon;8500
ZH;Gerlisberg;8302
LU;Gerliswil;6020
ZH;Geroldswil;8954
BE;Gerolfingen;2575
TI;Gerra (Gambarogno);6576
TI;Gerra (Verzasca);6635
TI;Gerra Piano;6516
SZ;Gersau;6442
BE;Gerzensee;3115
VS;Geschinen;3985
LU;Gettnau;6142
VS;Getwing;3945
VS;Getwing;3945
LU;Geuensee;6232
AR;Gfeld;9043
ZH;Gfenn;8600
AG;Gfill;4852
TI;Ghirone;6720
GR;Giarsun;7545
ZH;Gibswil-Ried;8498
BL;Giebenach;4304
BE;Giessbach;3855
SG;Giessen;8717
VS;Giétroz;1925
VD;Giez;1429
FR;Giffers;1735
FR;Gillarens;1673
VD;Gilly;1182
VD;Gimel;1188
BE;Gimmelwald;3826
BE;Gimmiz;3272
VD;Gingins;1276
TI;Giornico;6745
AG;Gipf;5073
AG;Gippingen;5316
GR;Giraniga;7134
ZH;Girenbad bei Hinwil;8340
ZH;Girenbad bei Turbenthal;8488
ZH;Girsberg;8468
ZH;Gisenhard;8467
LU;Gisikon;6038
OW;Giswil;6074
OW;Giswil;6074
TI;Giubiasco;6512
TI;Giumaglio;6678
FR;Givisiez;1762
VD;Givrins;1271
VD;Gland;1115
VD;Gland;1196
AG;Gländ;4852
VS;Glarey;3960
GR;Glaris;7277
TG;Glarisegg;8266
GL;Glarus;8750
GR;Glas;7428
AG;Glashütten;4856
ZH;Glattbrugg;8152
ZH;Glattfelden;8192
ZH;Glattpark;8152
VS;Gletsch;3999
FR;Gletterens;1544
VD;Glion;1823
VS;Glis;3902
BE;Glockenthal;3612
JU;Glovelier;2855
VS;Gluringen;3998
VD;Glutières;1867
AG;Gnadenthal;5524
TI;Gnosca;6525
ZH;Gockhausen;8044
BE;Gohl;3553
TI;Gola di Lago;6950
BE;Golaten;3207
SG;Goldach;9403
SZ;Goldau;6410
ZH;Goldbach;8700
BE;Goldbach;3432
BE;Goldern;6085
SG;Goldingen;8638
BE;Goldiwil;3624
BE;Goldswil bei Interlaken;3805
TI;Golino;6656
VD;Gollion;1124
UR;Golzern;6475
BE;Gomerkinden;3415
SG;Gommiswald;8737
BE;Gondiswil;4955
VS;Gondo;3907
AI;Gonten;9108
AI;Gontenbad;9108
AG;Gontenschwil;5728
VS;Goppenstein;3917
VS;Goppisberg;3983
TI;Gordemo;6596
TI;Gordevio;6672
TI;Gordola;6596
TI;Gorduno;6518
NE;Gorgier;2023
TI;Gorla;6874
VS;Gornergrat;3920
UR;Göschenen;6487
UR;Göscheneralp;6487
AG;Göslikon;5525
ZH;Gossau;8625
SG;Gossau;9200
VD;Gossens;1407
ZH;Gössikon;8126
SO;Gossliwil;4579
TG;Götighofen;8583
VS;Gottefrey;1907
BS;Gotthelf;4000
TG;Gottlieben;8274
TG;Gottshaus;9225
BE;Gottstatt;2552
ZH;Gotzenwil;8400
VD;Goumoens-la-Ville;1376
VD;Goumoens-le-Jux;1376
JU;Goumois;2354
BE;Graben;3154
BE;Graben;3376
SG;Grabs;9472
SG;Grabserberg;9472
VS;Grächen;3925
BE;Grächwil;3045
OW;Grafenort;6388
NW;Grafenort;6388
BE;Grafenried;3308
ZH;Grafstal;8310
TG;Graltshausen;8572
SG;Grämigen;9601
TI;Grancia;6916
VD;Grancy;1117
VD;Grand Mont;1052
NE;Grand-Bayard;2127
VD;Grandchamp;1820
VD;Grandcour;1543
VD;Grandevent;1421
JU;Grandfontaine;2908
JU;Grandgourt;2923
GE;Grand-Lancy;1212
GE;Grand-Lancy;1212
NE;Grand-Savagnier;2065
FR;Grandsivaz;1775
VD;Grandson;1422
VS;Grand-St-Bernard;1946
BE;Grandval;2745
VD;Grandvaux;1091
FR;Grandvillard;1666
VS;Granges;3977
FR;Granges (Veveyse);1614
FR;Granges-de-Vesin;1484
FR;Granges-Paccot;1763
VD;Granges-près-Marnand;1523
VD;Granges-sous-Trey;1552
FR;Grangettes;1686
AG;Gränichen;5722
VS;Granois;1965
ZH;Gräslikon;8415
BE;Grasswil;3365
FR;Grattavache;1624
BE;Grauenstein;3325
TI;Gravesano;6929
VS;Greich;3983
ZH;Greifensee;8606
BL;Grellingen;4203
SO;Grenchen;2540
SO;Grenchenberg;2540
FR;Greng;3280
VS;Grengiols;3993
FR;Grenilles;1726
VD;Grens;1274
LU;Greppen;6404
TI;Gresso;6611
VD;Gressy;1432
SG;Gretschins;9479
SO;Gretzenbach;5014
TI;Gribbio;6747
BE;Griesalp;3723
BE;Griesbach;3454
TG;Griesenberg;8514
VS;Grimentz;3961
VS;Grimisuat;1971
BE;Grimmialp;3757
VS;Grimselpass;3864
SO;Grindel;4247
BE;Grindelwald;3818
BE;Grissenberg;3266
SO;Grod;4658
FR;Grolley;1772
VS;Grône;3979
GR;Grono;6537
SZ;Gross;8841
BE;Grossaffoltern;3257
SG;Grossberg;8896
LU;Grossdietwil;6146
FR;Grossguschelmuth;1792
BE;Grosshöchstetten;3506
FR;Grossried (Ueberstorf);3175
OW;Grossteil;6074
LU;Grosswangen;6022
AR;Grub;9035
SG;Grub;9036
VS;Gruben;3946
BE;Grubenwald;3770
VS;Grugnay;1955
BE;Grund bei Gstaad;3783
TG;Grüneck;8554
BE;Grünen;3455
BE;Grünenmatt;3452
ZH;Grüningen;8627
GR;Grüsch;7214
ZH;Grüt;8624
ZH;Grütze;8400
FR;Gruyères;1663
VD;Gryon;1882
VS;Gspon;3933
BE;Gstaad;3780
BE;Gsteig bei Gstaad;3785
BE;Gsteigwiler;3814
GR;Guarda;7545
TI;Gudo;6515
VS;Gueuroz;1920
VD;Guévaux;1787
BE;Guggisberg;3158
ZH;Guldenen;8127
FR;Gumefens;1643
BE;Gümligen;3073
BE;Gümmenen;3205
BS;Gundeldingen;4000
TG;Gündelhart;8507
ZH;Gundetswil;8543
ZH;Gündisau;8322
ZH;Gündlikon;8543
BE;Gündlischwand;3815
LU;Güniken;6276
SO;Günsberg;4524
ZH;Guntalingen;8468
BE;Gunten;3654
TG;Gunterschwil;8564
TG;Guntershausen bei Aadorf;8357
TG;Guntershausen bei Birwinken;8572
SH;Guntmadingen;8223
SO;Gunzgen;4617
LU;Gunzwil;6222
BE;Gurbrü;3208
FR;Gurmels;3212
BE;Gurnigel;3099
SG;Gurtberg;9620
BE;Gurten Kulm;3084
UR;Gurtnellen;6482
BE;Gurzelen;3663
FR;Guschelmuth;1792
BE;Gutenburg;4932
ZH;Gutenswil;8605
ZH;Gütighausen;8478
BE;Guttannen;3864
VS;Guttet;3956
TG;Güttingen;8594
BE;Gwatt;3645
BE;Gwattstutz;3645
GE;Gy;1251
BE;Gysenstein;3503
SO;Haag;2545
SG;Haag;9469
BE;Habkern;3804
AG;Habsburg;5245
LU;Habschwanden;6166
BE;Habstetten;3065
ZH;Hadlikon;8340
BL;Häfelfingen;4445
AR;Hag;9052
ZH;Hagenbuch;8523
SO;Hägendorf;4614
ZG;Hagendorn;6332
AG;Hagenfirst;5317
TG;Hagenwil am Nollen;8577
TG;Hagenwil bei Amriswil;8580
SG;Häggenschwil;9312
AG;Hägglingen;5607
BE;Hagneck;2575
ZH;Hakab;8309
SG;Halden;9032
TG;Halden;9223
GR;Haldenstein;7023
UR;Haldi bei Schattdorf;6469
UR;Haldi bei Schattdorf;6469
TG;Halingen;9548
SH;Hallau;8215
AG;Hallwil;5705
SO;Halten;4566
AR;Halten;9035
SG;Halten;9035
LU;Hämikon;6289
BE;Hämlismatt;3508
BE;Handegg;3864
TG;Happerswil;8585
BE;Hard;3054
SG;Hard;9463
BE;Hardern;3250
TG;Harenwilen;8553
SO;Härkingen;4624
BE;Hartlisberg;3612
AG;Hasenberg;8965
ZH;Hasenstrick;8342
LU;Hasle;6166
BE;Hasle bei Burgdorf;3415
GL;Haslen;8773
AI;Haslen;9054
BE;Hasle-Rüegsau;3415
BE;Hasli;3132
TG;Hasli;8554
ZH;Hasliberg;8156
BE;Hasliberg;6085
TG;Hatswil;8580
TG;Hattenhausen;8564
GL;Hätzingen;8775
SO;Hauenstein;4633
AR;Haufen;9426
ZH;Hauptikon;8926
TG;Hauptwil;9213
AG;Hausen (AG);5212
ZH;Hausen am Albis;8915
ZH;Hausen bei Ossingen;8475
BE;Häusermoos im Emmental;3463
TG;Häusern;8554
TG;Häuslenen;8522
VS;Haute-Nendaz;1997
NE;Hauterive;2068
FR;Hauteville;1648
VD;Hauteville (Vevey);1800
BE;Häutligen;3510
FR;Haut-Vully;1789
ZH;Hedingen;8908
SG;Heerbrugg;9435
SG;Heerbrugg;9435
SG;Heerbrugg;9435
SG;Heerbrugg;9435
TG;Hefenhausen;8564
TG;Hefenhofen;8580
BE;Heggidorn;3202
ZH;Hegi;8400
ZH;Hegnau;8604
AR;Heiden;9410
BE;Heiligenschwendi;3625
LU;Heiligkreuz;6166
SG;Heiligkreuz;9000
SG;Heiligkreuz;9000
SG;Heiligkreuz;8888
TG;Heiligkreuz;9515
BE;Heimberg;3627
BE;Heimenhausen;3373
TG;Heimenhofen;8586
BE;Heimenschwand;3615
BE;Heimisbach;3453
BE;Heimiswil;3412
SO;Heinrichswil;4558
ZH;Heisch;8915
FR;Heitenried;1714
AG;Heitersberg;8957
TG;Heiterschen;9545
SG;Heiterswil;9630
FR;Heitiwil;3186
TG;Heldswil;9216
BE;Helgisried;3155
LU;Hellbühl;6016
LU;Hellbühl;6016
AG;Hellikon;4316
BE;Hellsau;3429
TG;Helmishueb;9313
TG;Helsighausen;8558
SG;Hemberg;9633
SH;Hemishofen;8261
SH;Hemmental;8231
TG;Hemmerswil;8580
BL;Hemmiken;4465
SG;Henau;9247
AG;Hendschiken;5604
